iz11_code,iz11_name,Civic Assets score,Civic Assets rank,Connectedness score,Connectedness rank,Engaged Community score,Engaged Community rank,Community Needs Index score,Community Needs Index rank,Left Behind Area?
S02001494,Bellfield and Kirkstyle,0.8240246176719666,175,57.21337890625,339,122.91641998291016,28,151.785400390625,42,FALSE
S02001691,Northwest Lewis,1.0801262855529785,93,114.61769104003906,10,11.556705474853516,1113,150.27491760253906,43,FALSE
S02002103,Irvine Girdle Toll and Staneca,0.6136992573738098,276,71.129119873046875,186,111.34225463867187,38,150.25909423828125,44,FALSE
S02001949,Wyndford,-0.5986729860305786,1005,101.57726287841797,25,102.74453735351562,67,148.31756591796875,45,TRUE
S02002111,Saltcoats Central,-0.24382299184799194,821,96.9956283569336,38,103.99605560302734,62,147.9554901123047,46,TRUE
S02001532,Milton of Campsie,1.4562501907348633,17,50.32509231567383,456,71.99359893798828,235,145.598388671875,47,FALSE
S02002143,Coltness,0.5761085748672485,299,58.192134857177734,328,129.37591552734375,22,144.3833770751953,48,TRUE
S02002478,Fauldhouse,1.3367668390274048,33,83.32408142089844,102,32.56671905517578,703,144.15151977539062,49,TRUE
S02002503,Bathgate and Boghall,1.5338585376739502,15,62.040069580078125,287,50.052085876464844,437,143.65850830078125,50,FALSE
S02002169,Kirkwood and Bargeddie,1.2269636392593384,56,44.128135681152344,571,96.84022521972656,85,143.51678466796875,51,TRUE
S02002047,Greenock East,0.6753390431404114,243,89.94940948486328,66,79.60368347167969,185,143.49122619628906,52,TRUE
S02002097,Arran,0.688216507434845,235,115.26271057128906,9,33.804386138916016,683,143.00250244140625,53,FALSE
S02001480,Mauchline,1.549349069595337,14,51.622222900390625,425,59.027217864990234,341,141.26161193847656,54,FALSE
S02001721,Hallglen and Glen Village,1.121133804321289,82,59.45536804199219,315,88.27305603027344,131,140.9403533935547,55,TRUE
S02002330,Girvan Glendoune,0.3401477336883545,437,80.69425201416016,114,102.91677856445312,66,140.66134643554687,56,TRUE
S02001478,Mauchline Rural,0.53227299451828,328,99.95213317871094,28,62.04319381713867,312,140.06077575683594,57,TRUE
S02002112,Ardrossan Central,-0.13018380105495453,757,101.29047393798828,26,87.28931427001953,139,139.76547241210937,58,TRUE
S02001369,Angus Glens,0.8570810556411743,158,110.05194854736328,14,15.314465522766113,1032,137.8916015625,59,FALSE
S02002131,Kilbirnie North,0.7673126459121704,189,82.94367218017578,104,75.37937927246094,210,137.39622497558594,60,FALSE
S02001476,Doon Valley South,0.9151051640510559,134,70.58111572265625,191,83.85411071777344,164,137.27169799804687,61,TRUE
S02002496,Blackburn,1.3764276504516602,30,74.80004119873047,147,30.927021026611328,734,137.19737243652344,62,TRUE
S02002332,Maybole,1.3425923585891724,32,68.74459075927734,206,44.21184158325195,530,136.4033660888672,63,FALSE
S02002376,Stonehouse,1.261452555656433,49,75.24468994140625,142,42.363067626953125,555,136.2017364501953,64,FALSE
S02002466,IZ07,0.07559405267238617,620,54.462894439697266,373,145.1917266845703,8,136.03919982910156,65,FALSE
S02002243,Errol and Inchture,1.3771836757659912,29,81.38871002197266,109,14.8925199508667,1041,135.92706298828125,66,FALSE
S02002119,Kilwinning Whitehirst Park and Woodside,0.544538676738739,312,89.61967468261719,69,76.27278137207031,205,135.04147338867187,67,FALSE
S02002113,Ardrossan North West,0.6023219227790833,288,91.6470718383789,59,67.02764129638672,273,133.50192260742187,68,FALSE
S02001329,New Pitsligo,0.9021164178848267,141,98.99158477783203,31,22.202783584594727,895,133.08998107910156,69,FALSE
S02002180,Chapelhall West,0.7396419048309326,200,38.42115020751953,673,116.54509735107422,30,132.66571044921875,70,FALSE
S02001723,Braes Villages,0.25427260994911194,503,104.8809585571289,19,56.090789794921875,362,132.6265869140625,71,FALSE
S02001505,Kilmaurs,1.394442081451416,26,43.33900451660156,586,67.753265380859375,267,131.6553955078125,72,FALSE
S02001698,Denny - Nethermains,0.6145403385162354,275,49.50865173339844,463,112.86359405517578,36,131.33529663085937,73,FALSE
S02001668,Granton South and Wardieburn,0.6250848174095154,273,92.7440185546875,51,56.55744552612305,359,131.27394104003906,74,TRUE
S02002080,"Mosstodloch, Portgordon and seaward",1.125150203704834,81,86.858612060546875,85,30.95330047607422,733,131.03453063964844,75,FALSE
S02001255,Cove South,1.6335116624832153,8,7.502681255340576,1228,71.47532653808594,236,130.59768676757812,76,FALSE
S02002266,Paisley Foxbar,0.27590712904930115,485,64.311553955078125,255,108.4352798461914,44,128.6355743408203,77,TRUE
S02002351,Muirhead,1.0604987144470215,96,34.80264663696289,751,99.13367462158203,79,128.58547973632812,78,FALSE
S02001915,Craigend and Ruchazie,0.42945584654808044,384,79.36202239990234,119,87.497222900390625,135,128.58152770996094,79,TRUE
S02001416,Dalbeattie,1.441692590713501,19,47.54273986816406,509,50.355377197265625,433,128.4008331298828,80,FALSE
S02002037,"West Braeside, East Inverkip and West Gourock",-0.09886343777179718,736,98.8494873046875,32,74.83473205566406,216,128.02345275878906,81,FALSE
S02002107,Irvine East,-0.36628204584121704,887,67.88543701171875,213,125.18107604980469,25,127.75836181640625,82,FALSE
S02002370,Kirkmuirhill and Blackwood,1.2230160236358643,57,78.06287384033203,127,27.338443756103516,806,127.43766784667969,83,TRUE
S02001894,Parkhead West and Barrowfield,-0.8662515878677368,1107,94.16913604736328,45,91.16748046875,110,127.32093811035156,84,TRUE
S02002417,Calderwood East,0.8170914649963379,177,49.37212371826172,467,99.534912109375,77,127.1800765991211,85,FALSE
S02001483,Cumnock South and Craigens,1.053748607635498,97,51.27477264404297,430,84.69085693359375,158,126.91016387939453,86,TRUE
S02001940,Keppochhill,-1.0039247274398804,1151,91.7688217163086,56,96.17594146728516,89,126.81189727783203,87,TRUE
S02002145,Newmains,0.9112551212310791,136,70.77653503417969,189,66.56681060791016,277,125.97236633300781,88,TRUE
S02001905,Central Easterhouse,-0.19297361373901367,790,86.895233154296875,84,93.96736907958984,99,125.65251159667969,89,TRUE
S02002390,Hillhouse,0.302116334438324,466,43.436805725097656,582,132.89088439941406,17,125.13604736328125,90,TRUE
S02001755,Dunfermline Duloch South,0.9650515913963318,122,72.72891998291016,172,57.67644500732422,349,125.13458251953125,91,FALSE
S02001893,Dalmarnock,-0.968655526638031,1142,91.38529205322266,60,95.53871154785156,92,125.09303283691406,92,TRUE
S02001420,Thornhill,1.2922624349594116,46,74.87437438964844,145,20.080711364746094,941,124.97798919677734,93,FALSE
S02001333,Cruden,1.0735715627670288,94,66.05937194824219,231,59.37407684326172,338,124.78004455566406,94,FALSE
S02001293,Newtonhill,1.591518759727478,12,52.453487396240234,411,27.957599639892578,793,124.7800064086914,95,FALSE
S02001432,Locharbriggs,1.4227607250213623,21,29.707664489746094,870,65.86857604980469,284,124.35417938232422,96,FALSE
S02001856,Govan and Linthouse,-1.0109307765960693,1153,94.78996276855469,44,88.7573471069336,125,124.18745422363281,97,TRUE
S02001830,Elie Colinsburgh and Largoward,0.29222238063812256,472,129.18603515625,2,10.351511001586914,1132,123.9283676147461,98,FALSE
S02002336,Castlehill and Kincaidston,0.9023063778877258,140,37.85966491699219,689,99.58980560302734,76,123.62957763671875,99,FALSE
S02001912,Old Shettleston and Parkhead North,-1.1065714359283447,1179,76.39873504638672,136,109.36080932617187,40,123.54424285888672,100,TRUE
S02001730,Grangemouth - Newlands,0.4594467878341675,369,90.2724609375,64,60.87476348876953,326,122.70037841796875,101,FALSE
S02001859,Ibrox,-1.625707745552063,1255,99.33155822753906,29,82.34776306152344,169,122.65441131591797,102,TRUE
S02001700,"Banknock, Haggs and Longcroft",0.5181754231452942,338,48.989036560058594,477,107.94147491455078,45,122.47442626953125,103,FALSE
S02001311,Newmachar and Fintray,1.5678044557571411,13,46.33616638183594,535,33.75691223144531,685,121.39606475830078,104,FALSE
S02002182,Craigneuk Airdrie,0.5106264352798462,341,54.135459899902344,375,103.32113647460937,64,121.35653686523437,105,FALSE
S02002510,"Winchburgh, Bridgend and Philpstoun",1.4129915237426758,23,61.05635452270508,296,21.305490493774414,912,121.16738891601562,106,FALSE
S02002349,"Annbank, Mossblown and Tarbolton - the Coalfields",0.8508230447769165,161,69.63017272949219,199,64.458038330078125,291,120.29396057128906,107,FALSE
S02001822,Kettle and Ladybank,0.8378057479858398,166,91.25663757324219,61,23.599647521972656,878,118.72003173828125,108,FALSE
S02002161,Milnwood,0.05327456071972847,642,37.77241516113281,695,140.70481872558594,11,118.64448547363281,109,FALSE
S02001773,Kelty East,0.9359216094017029,131,80.7891845703125,112,35.42668151855469,652,118.62640380859375,110,FALSE
S02002498,Whitburn Central,0.9633315801620483,123,72.877777099609375,170,47.90616226196289,472,118.5311050415039,111,TRUE
S02002174,Townhead,-0.22949376702308655,816,43.92167282104492,572,140.81887817382812,10,118.49258422851562,112,TRUE
S02002361,Carluke East,0.1174732968211174,583,83.9061050415039,99,82.247039794921875,171,118.05952453613281,113,TRUE
S02001687,Barra and South Uist,0.595496654510498,290,103.31809997558594,21,10.507144927978516,1129,117.99877166748047,114,FALSE
S02001671,Muirhouse,1.1486921310424805,75,64.86268615722656,248,44.273353576660156,526,117.81678771972656,115,TRUE
S02001976,Drumry East,-0.29639390110969543,845,89.22815704345703,72,84.99903869628906,156,117.80668640136719,116,TRUE
S02001925,Sighthill,-2.62290096282959,1279,98.76319122314453,33,78.8856430053711,190,117.7794189453125,117,TRUE
S02001602,"Gracemount, Southhouse and Burdiehouse",1.0151619911193848,109,63.84365463256836,258,55.522911071777344,368,117.57349395751953,118,FALSE
S02001914,"Cranhill, Lightburn and Queenslie South",-0.1686023622751236,774,83.2476806640625,103,89.01761627197266,124,117.57115936279297,119,TRUE
S02001800,Glenrothes Macedonia and Tanshall,0.3681289851665497,412,45.31714630126953,548,109.90618896484375,39,117.40111541748047,120,TRUE
S02002197,Moodiesburn East,1.2000809907913208,62,34.62804412841797,753,76.2210693359375,206,117.31260681152344,121,FALSE
S02002183,Petersburn,-0.24336345493793488,820,30.5170841217041,850,155.52337646484375,3,116.76761627197266,122,TRUE
S02002218,Isles,0.06211494654417038,629,129.96243286132812,1,3.7930707931518555,1261,116.39315795898437,123,FALSE
S02002033,Sutherland North and West,0.14302578568458557,568,127.26641845703125,3,3.938183307647705,1258,116.14041900634766,124,FALSE
S02002480,West Calder and Polbeth,1.0870368480682373,91,73.38875579833984,161,31.082557678222656,730,115.9377212524414,125,FALSE
S02001695,Point,1.4395554065704346,20,55.353511810302734,365,15.567482948303223,1025,115.7782211303711,126,FALSE
S02001808,Glenrothes Collydean,1.043599009513855,102,64.873260498046875,246,49.11460494995117,450,115.47850036621094,127,TRUE
S02002133,Beith West,0.7445657849311829,197,44.7612190246582,556,93.36967468261719,103,115.33493041992187,128,FALSE
S02001810,Glenrothes Balfarg Pitcairn and Coul,1.118211030960083,83,52.692771911621094,408,59.787193298339844,333,115.09906005859375,129,FALSE
S02001851,Cardonald North,-0.08768892288208008,728,63.819828033447266,259,105.02287292480469,56,114.99091339111328,130,FALSE
S02002485,East Calder,1.1125383377075195,86,64.13800048828125,256,44.9925651550293,517,114.88370513916016,131,FALSE
S02001733,Grangemouth - Bowhouse,0.49368786811828613,349,54.6014404296875,370,95.95642852783203,90,114.65325164794922,132,FALSE
S02002211,Kilsyth Bogside,0.30147242546081543,468,50.778167724609375,440,106.361083984375,53,114.2265625,133,FALSE
S02002326,East and West Mainland,1.2010501623153687,61,76.31095123291016,138,2.6412887573242187,1274,114.13198852539062,134,FALSE
S02002289,Houston South,0.6041547060012817,285,57.865970611572266,334,88.407012939453125,129,114.12405395507812,135,FALSE
S02001904,Easterhouse East,-0.12330633401870728,752,67.76109313964844,217,99.95770263671875,73,113.18597412109375,136,FALSE
S02002178,Greenend and Carnbroe,0.5235194563865662,335,58.06865310668945,331,90.407958984375,115,113.12442779541016,137,FALSE
S02001782,Kinghorn,1.299992561340332,42,63.190216064453125,270,19.537111282348633,948,113.11991119384766,138,FALSE
S02002136,Netherton and Kirkhill,0.2236938774585724,520,41.4205207824707,622,115.0621337890625,33,112.05573272705078,139,FALSE
S02001584,Murrayburn and Wester Hailes North,0.16122674942016602,560,84.02998352050781,98,70.77349853515625,239,112.02030181884766,140,FALSE
S02002109,Irvine Fullarton,-0.2939915359020233,843,71.94305419921875,181,97.76750946044922,83,112.01881408691406,141,FALSE
S02001926,"Roystonhill, Blochairn, and Provanmill",-1.0349386930465698,1158,87.5127944946289,80,87.63263702392578,133,111.9732666015625,142,FALSE
S02001481,Cumnock Rural,-0.17556607723236084,778,90.98106384277344,63,69.010650634765625,254,111.77610778808594,143,FALSE
S02001690,South Lewis,-0.06646912544965744,719,127.19664001464844,4,9.428051948547363,1153,111.63349151611328,144,FALSE
S02002011,Ross and Cromarty South West,0.32043030858039856,454,110.23799896240234,13,3.2657246589660645,1268,111.13103485107422,145,FALSE
S02002020,Alness,1.3119051456451416,40,54.05782699584961,377,28.81288719177246,778,111.07877349853516,146,FALSE
S02001975,Drumchapel North,-0.7148652076721191,1057,81.93927001953125,107,89.90074157714844,119,110.60317993164062,147,FALSE
S02002375,Strutherhill,-0.35250091552734375,881,63.23548126220703,268,105.33224487304687,55,110.26979064941406,148,FALSE
S02001487,Stewarton East,1.3587473630905151,31,33.02947235107422,781,47.527244567871094,476,109.87040710449219,149,FALSE
S02002012,Ross and Cromarty North West,0.22025907039642334,524,111.5721435546875,11,3.422868251800537,1266,109.62989044189453,150,FALSE
S02001402,Alloa South and East,0.3014785349369049,467,87.32969665527344,81,53.41532897949219,388,109.20347595214844,151,FALSE
S02001742,Cairneyhill and Crombie,0.7566076517105103,192,76.97493743896484,132,39.10030746459961,599,109.18898010253906,152,FALSE
S02002010,Skye North West,-0.055815525352954865,715,126.86593627929687,5,5.125171661376953,1234,109.08236694335937,153,FALSE
S02001907,North Barlanark and Easterhouse South,-0.40665221214294434,911,87.18958282470703,83,78.2276382446289,196,108.57632446289062,154,FALSE
S02002046,Greenock Town Centre and East Central,-0.7892894148826599,1083,89.80455017089844,67,77.89649963378906,198,108.50970458984375,155,FALSE
S02002505,Bathgate West,0.7027946710586548,227,78.88462829589844,124,42.06455993652344,558,108.47584533691406,156,FALSE
S02002134,Beith East and Rural,0.7181791067123413,215,71.97358703613281,179,51.23046875,419,108.39009094238281,157,FALSE
S02001766,Dalgety Bay Central,1.3958109617233276,24,33.022640228271484,782,38.6807861328125,604,108.25050354003906,158,FALSE
S02001472,Charleston,0.23074287176132202,515,66.844390869140625,222,87.02037811279297,141,108.10609436035156,159,FALSE
S02002438,Kippen and Fintry,0.9739792346954346,118,82.73307037353516,105,6.351978778839111,1215,107.99214935302734,160,FALSE
S02001599,Fairmilehead,1.6659209728240967,6,27.885393142700195,900,17.628725051879883,994,107.71448516845703,161,FALSE
S02002442,Fallin,1.3863688707351685,27,31.57664680480957,810,42.334503173828125,556,107.63811492919922,162,FALSE
S02001821,Kennoway and Bonnybank,0.9838062524795532,115,53.28664016723633,387,55.213134765625,370,107.4935531616211,163,FALSE
S02001344,South Angus,0.41628754138946533,390,63.15662384033203,271,84.12006378173828,160,107.34160614013672,164,FALSE
S02001688,Benbecula and North Uist,0.6060433387756348,281,93.6782455444336,48,13.281454086303711,1076,107.10990905761719,165,FALSE
S02001846,Crookston South,-0.21015256643295288,807,59.789527893066406,309,103.33465576171875,63,106.68305969238281,166,FALSE
S02002465,IZ06,-0.07086458802223206,722,44.453636169433594,562,114.22029113769531,34,106.50283813476562,167,FALSE
S02002350,"Dundonald, Loans and Symington",0.9383595585823059,130,63.745849609375,260,45.152626037597656,514,106.41262817382812,168,FALSE
S02001565,Eaglesham and Waterfoot,1.2938671112060547,44,44.691062927246094,558,38.18138885498047,608,106.31141662597656,169,FALSE
S02001302,Kemnay,1.3152868747711182,38,11.386423110961914,1186,61.60420227050781,317,106.19221496582031,170,FALSE
S02002123,Dalry East and Rural,-0.4043411314487457,909,89.28034973144531,71,68.58213806152344,256,105.86788940429687,171,FALSE
S02002512,"Uphall, Dechmont and Ecclesmachan",0.8533399701118469,160,65.04546356201172,242,48.035274505615234,468,105.74976348876953,172,FALSE
S02001583,The Calders,0.8187583088874817,176,69.844573974609375,196,44.22106170654297,528,105.57798767089844,173,FALSE
S02002110,Stevenston Ardeer,-1.4853545427322388,1242,65.40705108642578,236,105.70528411865234,54,105.5682601928711,174,FALSE
S02002018,Black Isle South,1.3339136838912964,35,57.20637893676758,341,5.264011859893799,1231,105.0656509399414,175,FALSE
S02002157,Motherwell West,-0.1753930300474167,777,28.500816345214844,888,133.28598022460938,16,104.88571166992187,176,FALSE
S02002329,Carrick South,-0.3772657811641693,892,101.78773498535156,24,37.50852584838867,620,104.69329833984375,177,FALSE
S02001829,Dairsie Ceres and Dunino,0.5454598665237427,310,91.72452545166016,57,19.136621475219727,954,104.65399932861328,178,FALSE
S02001501,"Altonhill South, Longpark and Hillhead",0.13426265120506287,574,52.13678741455078,415,99.66112518310547,75,104.58251953125,179,FALSE
S02001711,Falkirk - Bainsford and Langlees,0.3507702946662903,424,74.74945831298828,148,62.19036102294922,309,104.25521850585937,180,FALSE
S02001728,Redding,0.0179058238863945,670,44.30207061767578,568,108.80198669433594,43,104.12259674072266,181,FALSE
S02001726,Maddiston and Rumford,0.7299919724464417,207,53.295982360839844,385,69.68684387207031,250,103.92555236816406,182,FALSE
S02002034,Kilmacolm Central,0.6316837668418884,267,86.28413391113281,87,27.64238739013672,801,103.91886138916016,183,FALSE
S02001348,Carnoustie West,0.7415703535079956,199,28.25292205810547,894,93.10774230957031,106,103.86335754394531,184,FALSE
S02001825,Newburgh,0.9549832344055176,126,76.37562561035156,137,12.79443359375,1087,103.77545928955078,185,FALSE
S02001968,Knightswood Park West,-0.6619497537612915,1032,67.54474639892578,218,98.359466552734375,82,103.71461486816406,186,FALSE
S02001273,Northfield,0.2844105064868927,476,12.356210708618164,1171,123.74525451660156,26,103.30756378173828,187,FALSE
S02001412,Newton Stewart,0.8615649938583374,157,73.35783386230469,163,28.941471099853516,774,103.2901382446289,188,FALSE
S02001582,Clovenstone and Wester Hailes,0.7154759168624878,217,65.717010498046875,233,52.13669204711914,406,103.26127624511719,189,FALSE
S02001735,Bo'ness - Newtown,0.25503453612327576,499,50.555145263671875,449,96.36561584472656,87,103.10746765136719,190,FALSE
S02002189,Drumgelloch,-0.38349980115890503,900,24.996145248413086,953,135.7992706298828,12,103.06694030761719,191,FALSE
S02002388,Little Earnock,0.48197638988494873,354,69.79656219482422,197,63.75981140136719,298,103.01484680175781,192,FALSE
S02002472,IZ13,0.28899085521698,473,48.094398498535156,493,97.32757568359375,84,102.90054321289062,193,FALSE
S02001306,Kintore,1.1961537599563599,63,23.02530288696289,982,63.299041748046875,301,102.82122039794922,194,FALSE
S02001947,Maryhill East,-0.5709876418113708,986,63.623992919921875,262,99.90693664550781,74,102.74421691894531,195,FALSE
S02002162,Orbiston,0.267434298992157,490,55.633026123046875,362,90.388397216796875,116,102.56272888183594,196,FALSE
S02002342,Dalmilling,0.12088347226381302,581,45.19830322265625,549,104.66483306884766,59,102.54208374023437,197,FALSE
S02001322,Auchterless and Monquhitter,0.31551456451416016,460,94.116943359375,46,25.02865219116211,845,102.45497131347656,198,FALSE
S02002352,Barassie,0.32320263981819153,452,52.79896545410156,404,90.54267883300781,114,102.2862319946289,199,FALSE
S02002429,Crosshouse and Lindsayfield,0.831538736820221,172,41.68977737426758,617,77.777252197265625,199,102.25285339355469,200,FALSE
S02001874,Carnwadric West,0.13724225759506226,572,73.97068786621094,156,70.99164581298828,237,102.25100708007812,201,FALSE
S02001707,Stenhousemuir - Antonshill,0.057825297117233276,635,38.36194610595703,676,109.27306365966797,41,102.21973419189453,202,FALSE
S02001272,Cummings Park,-0.4156236946582794,917,6.072152137756348,1244,145.3297882080078,6,102.20364379882812,203,FALSE
S02001323,Turriff,1.2406266927719116,53,51.16918182373047,433,26.9841251373291,813,102.2007064819336,204,FALSE
S02002124,Dalry West,0.6466267704963684,259,50.66590881347656,443,79.04242706298828,188,102.10126495361328,205,FALSE
S02002286,Bishopton,1.418063998222351,22,19.44489097595215,1041,37.0968017578125,628,102.09712219238281,206,FALSE
S02002290,Houston North,1.0516226291656494,99,47.69840621948242,505,50.51593780517578,429,101.31236267089844,207,FALSE
S02002459,Highland,0.14106664061546326,571,103.89378356933594,20,4.412539482116699,1251,101.31221008300781,208,FALSE
S02001795,Kirkcaldy Gallatown and Sinclairtown,-0.17790822684764862,780,78.93505096435547,123,73.2802734375,225,101.30828857421875,209,FALSE
S02002193,Cardowan and Millerston,1.1561638116836548,74,43.8549919128418,573,46.70677185058594,489,101.23013305664062,210,FALSE
S02002462,IZ03,-0.44335633516311646,930,31.364063262939453,820,132.69107055664062,18,101.22148895263672,211,FALSE
S02002355,"Biggar, Symington, Thankerton and Dolphinton",0.4064871370792389,395,94.93890380859375,43,12.24850845336914,1098,101.05235290527344,212,FALSE
S02002129,Largs North,0.7464742064476013,196,63.45685577392578,266,50.000999450683594,439,100.83831787109375,213,FALSE
S02001853,Penilee,0.33643776178359985,440,51.970863342285156,419,89.205780029296875,122,100.70043182373047,214,FALSE
S02001849,Pollok North and East,-0.11279516667127609,742,59.84142303466797,308,94.92902374267578,97,100.3931884765625,215,FALSE
S02001900,Baillieston West,0.06567514687776566,624,53.507568359375,384,95.52061462402344,93,100.26737976074219,216,FALSE
S02001274,Heathryfold and Middlefield,0.003869779407978058,678,13.2890625,1156,132.3361358642578,19,99.90480041503906,217,FALSE
S02001737,"Blackness, Bo'ness - Carriden and Grahamsdyke",0.6260921359062195,270,72.32324981689453,176,45.67652893066406,507,99.590789794921875,218,FALSE
S02002491,Knightsridge,0.9678084254264832,120,51.296852111816406,429,48.39519500732422,462,99.42948913574219,219,FALSE
S02001689,Harris,0.4570331573486328,372,93.922271728515625,47,8.279899597167969,1171,99.40282440185547,220,FALSE
S02001882,Glenwood North,-0.22764302790164948,815,74.58480072021484,150,78.49402618408203,194,99.399261474609375,221,FALSE
S02002139,Craigneuk Wishaw,-0.22576920688152313,813,59.75719451904297,311,95.55421447753906,91,99.37867736816406,222,FALSE
S02001845,Nitshill,0.15004925429821014,562,51.990013122558594,418,93.959930419921875,100,99.2998275756836,223,FALSE
S02001666,West Pilton,0.8760617971420288,152,60.97600173950195,297,43.43915557861328,545,98.97566223144531,224,FALSE
S02002025,Sutherland East,0.9024289846420288,139,74.87896728515625,144,7.933143615722656,1181,98.84550476074219,225,FALSE
S02001398,Tillicoultry,1.0661938190460205,95,50.65715789794922,444,41.332000732421875,567,98.77825164794922,226,FALSE
